西元前年,年份數字,紀年標題,本年條目數,國家,人物,事件詞,本年內容摘要
前434,434,周考王七年（西元前四三四年）,3,秦、齊、楚、韓、趙、魏、晉、周,,卒、立,秦躁公九年，晉敬公十八年，魏文侯十二年，齊宣公二十二年，楚惠王五十五年。 [晉哀公]十八年哀公卒，子幽公柳立。幽公之時，晉畏，反朝韓、趙、魏之君。獨有絳、曲沃，餘皆入三晉。（《晉世家》） 案：《晉世家》之哀公即《紀年》之敬公，已詳周貞定王十七年案語中。
前433,433,周考王八年（西元前四三三年）,6,秦、齊、楚、魏、晉、周、魯、宋、鄭、代,,攻、滅、遷,秦躁公十年，晉幽西元年，魏文侯十三年，齊宣公二十三年，楚惠王五十六年。 佳(惟)王五十又六祀，返自西旃(陽)，楚王酓章乍(作)曾侯乙宗彝，寞之於西旃，其永時用享。（楚王酓章鎛與楚王酓章鐘銘文） 案：楚王奢章即楚惠王熊章。奢、熊聲近通轉。西旃即是《漢書·地理志》江夏郡之西陽，在今河南光山縣西南。北宋曾出土兩件銘文相同之鐘，見於著錄，據雲器出安陸，即今湖北安陸縣，與西陽鄰近。一九七八年同銘之鎛又出土於湖北隨縣城關西北擂鼓墩之曾侯乙墓中。據銘文，楚惠王於此年製作曾侯乙宗廟用之禮器，送往西陽祭奠。西陽當即曾之國都所在，設有君主之宗廟。從其出土地點，可知當時曾國不僅建都于潢水流域之西陽，並佔有溳水流域之隨縣與安陸。春秋戰國之際，君主之宗廟皆建於都城。《左傳》莊公二十八年雲：“凡邑，有宗廟先君之主曰都。”不可能建於別處。“返自西旆”，之“返”，前因宋代摹本有誤，誤釋為“徙”，由此曾引起錯誤之論斷。 曾侯乙墓，一九七八年發現於湖北隨縣城關西北五裡擂鼓墩，槨室分北、東、中、西四室，共出青銅禮樂器及其他器物二百五十多件。青銅禮器有升鼎九件與簋八件，以顯示君主身分。尚有鑊鼎二件、簋鼎九件以及簠、敦、壺、缶……
前432,432,周考王九年（西元前四三二年）,4,秦、齊、楚、魏、晉、衛,,卒、立,秦躁公十一年，晉幽公二年，魏文侯十四年，齊宣公二十四年，楚惠王五十七年。 [楚惠王]五十七年惠王卒，子簡公中立。（《楚世家》，《六國表》“中”作“仲”） [衛]敬公十九年卒，子昭公紂立。是時三晉強，衛如小侯屬之。（《衛世家》） 衛敬公生橈公舟。（《衛世家·索隱》引《世本》）案：橈公舟即昭公糾，“橈”與“昭”，“舟”與“糾”，音同通用。
前431,431,周考王十年（西元前四三一年）,10,秦、齊、楚、魏、晉、周、越、代,齊宣王,伐、滅,秦躁公十二年，晉幽公三年，魏文侯十五年，齊宣公二十五年，楚簡王元年。 [楚]簡王元年北伐滅莒。（《楚世家》，《六國表》亦雲此年“滅莒”） 中子化用保楚王，用正(征)梠(莒)，用擇其吉金，自乍(作)朕盤。(中子化盤銘文) 案：梠即莒。中子化當為征伐莒之楚將，不見文獻記載。《齊策五》第一章蘇代說齊閔王曰：“莒恃越而滅。”《水經·沭水注》引《屍子》曰：“莒君好鬼巫而國亡。” 周考王十一年（西元前四三0年）. 秦躁公十三年，晉幽公四年，魏文侯十六年，齊宣王二十六年，楚簡王二年。 [秦躁公]十三年義渠來伐，至渭南。（《秦本紀》） 秦躁公十三年義渠伐秦，侵至渭陽。（《六國表》） 至貞王二十五年秦伐義渠，虜其王。後十四年，義渠侵秦，至渭陰。（《後漢書·西羌傳》） 案：周貞王二十五年之後十四年，正是秦躁公十三年。《六國表》作“渭陽”，而《後漢書》作“渭陰”，古人以水北為陽，水南為陰，“渭陰”與《秦本紀》“渭南”相合。《六國表》作“渭陽”，非是。
前429,429,周考王十二年（西元前四二九年）,4,秦、齊、楚、魏、晉,,卒、立,秦躁公十四年，晉幽公五年，魏文侯十七年，齊宣公二十七年，楚簡王三年。 [秦躁公]十四年躁公卒，立其弟懷公。（《秦本紀》） [秦]躁公享國十四年居受寢，葬悼公南。（《秦始皇本紀》引《秦記》） [秦]懷公從晉來。（《秦始皇本紀》引《秦記》）
前428,428,周考王十三年（西元前四二八年）,3,秦、齊、楚、魏、晉,,卒、立、即位,秦懷西元年，晉幽公六年，魏文侯十八年，齊宣公二十八年，楚簡王四年。 秦懷西元年生靈公。（《六國表》） 案：張文虎曰：“《表》於是年書生靈公，而於靈西元年下書生獻公，首尾僅五年，錯誤甚矣。考《秦本紀》雲：“懷公太子曰昭子，蚤死，大臣乃立太子昭子之子，是為靈公。”《六國表》同。靈公乃懷公之孫而非子，梁玉繩謂《秦始皇本紀》引《秦記》雲：“懷公生靈公”以及此表，皆必生昭子之誤。亦不確切。若是年生昭子，四年後安得有靈公即位。若是年生靈公，四年後即位，在位十年卒，試問靈公將何時生獻公？此表“生靈公”，當是“生簡公”之誤。《秦本紀》雲：“簡公，昭子之弟而懷公子也。”
前427,427,周考王十四年（西元前四二七年）,2,秦、齊、楚、魏、晉,,,秦懷公二年，晉幽公七年，魏文侯十九年，齊宣公二十九年，楚簡王五年。 晉幽公七年大旱，地長生鹽。（《北堂書鈔》一百四十六引《紀年》）
前426,426,周考王十五年（西元前四二六年）,5,秦、齊、楚、韓、趙、魏、晉、周、衛、代,趙襄子,立、取,秦懷公三年，晉幽公八年，魏文侯二十年，齊宣公三十年，楚簡王六年。 周考王十五年崩，子威烈王午立。（《周本紀》） [衛]昭公六年公子亹弑之代立，是為懷公。（《衛世家》，《六國表》系衛悼西元年於次年，當誤） 王登為中牟令，上言於襄主曰：“中牟有士曰中章、胥己者，其身甚修，其學甚博，君何不舉之？”主曰：“子見之，我將為中大夫。”相室諫曰：“中大夫，晉重列也，今無功而受，非晉臣之意，君其耳而未之目邪？”襄主曰：“我取登，既耳而目之矣；登之所取，又耳而目之。是耳目人絕無已也。”王登一日而見二中大夫，予之田宅。中牟之人棄其田耘、賣宅圃而隨文學者，邑之半。（《韓非子·外儲說左上》） 案《呂氏春秋·知度》篇有大體相同之記述。惟“王登”作“任登”，“上言於襄主”作“上計言於襄子”，結尾無“王登一日而二見中大夫”云云。當以“上計言於襄子”為是，可知當時趙已推行年終考績之“上計”制度，並於“上計”之時可向國君推薦人才，此乃漢代郡國上計時貢士制度之開端。此言因舉賢而“賣宅圃而隨文學者，邑之半”。可知宅圃已可買賣。此事不知在何年，今系于趙襄子在位之晚年。
前425,425,周威烈王元年（西元前四二五年）,12,秦、齊、楚、趙、魏、晉、周、魯、中山、代,趙襄子,圍、卒、立、即位、滅、取、殺,秦懷公四年，晉幽公九年，魏文侯二十一年，齊宣公三十一年，楚簡王七年。 [晉]幽公九年，丹水出，相反擊。（《水經·沁水注》引《紀年》） [秦]懷公四年庶長鼂(“鼂”即“晁”字)與大臣圍懷公，懷公自殺，懷公太子曰昭子，蚤死，大臣乃立昭子之子，是為靈公。靈公，懷公孫也。（《秦本紀》）秦懷公四年庶長鼂殺懷公。太子蚤死，大臣立太子之子為靈公。（《六國表》） [秦懷公]享國四年葬櫟圉氏。生靈公。諸臣圉懷公，懷公自殺。（《秦始皇本紀》引《秦記》） [秦]肅靈公，昭子子也，居涇陽。（《秦始皇本紀》引《秦記》，《索隱》雲：“《紀年》及《世本》無肅字。”） 案：秦靈公為昭子之子，懷公之孫。《秦始皇本紀》引《秦記》謂懷公生靈公，非是。《六國表》既言“大臣立太子之子為靈公”，又言“懷公生靈公”，自相抵牾。《紀年》與《世本》皆稱秦靈公，無肅字，梁玉繩《史記志疑》謂《秦始皇本紀》引《秦記》稱肅靈公，乃誤增肅字。然亦可能有肅、靈兩諡，未必是誤增。 [趙襄子]其後娶空同氏，生五子。襄子為伯魯之不立也，不肯立子，且必欲傳位與伯魯子代成君。成君先死，乃取代成君子浣為太子。襄子立三十三卒，浣立，是為獻侯。獻侯少即位，治中牟……
前424,424,周威烈王二年（西元前四二四年）,13,秦、齊、楚、韓、趙、魏、晉、周、鄭,,伐、卒、立、即位、稱王、滅、會、遷、殺,秦靈西元年，晉幽公十年，魏文侯二十二年，韓武子元年，齊宣公三十二年，楚簡王八年。 秦靈西元年生獻公。（《六國表》） 魏文侯元年，秦靈公之元年也。與韓武子、趙桓子、周威王同時。（《魏世家》） 《六國表》以秦靈西元年、魏文侯元年、韓武子元年、趙桓子元年同列于周威烈王二年。 [韓]武子名啟章，康子子。（《魏世家·索隱》引《世本》） 案：《楚世家》稱：“簡王八年（即周威烈王二年）魏文侯、韓武子、趙桓子始列為諸侯。”錢穆《三晉始侯考》論之曰：“楚簡王八年，正當魏文侯二十三年。今《史表》誤作魏文元年者，《魏世家》雲魏文以二十二年為侯，則二十三年乃稱侯後之元年。如《秦本紀》秦惠文王以十三年四月戊午稱王，而明年更為元年也。今《史記》誤以稱侯更元之年，為魏文元年，遂誤遺其前二十二年，猶如梁惠王徐州稱王更元之年為魏襄王元年而誤遺其後之十六年也。……然則楚簡王八年，持魏文稱侯之元年而史誤以為魏文侯、趙桓子、韓武子始列為諸侯者，猶如徐州之會僅齊魏相王，而《魏世家》誤以為諸侯之相王也。”（《先秦諸子系年》第一四一至一四二頁）此說甚是。《魏世家》雲：“魏文侯元年，秦靈公之元年也。”太史公當依據《秦記》，此乃魏文侯……
前422,422,周威烈王四年（西元前四二二年）,6,秦、齊、楚、韓、趙、魏、晉、吳、鄭,,立,秦靈公三年，晉幽公十二年，魏文侯二十四年，韓武子三年，趙獻子二年，齊宣公三十四年，楚簡王十年。 秦靈公三年作上下畤。（《六國表》） 秦靈公作吳陽上畤，祭黃帝，作下畤，祭炎帝。（《封禪書》） 鄭立幽公子，為縉西元年。（《六國表》韓武子三年下） [晉]幽公十二年無雲而雷。（《太平御覽》八七六引《史記》） 案：林春溥《竹書紀年補證》、朱右曾《汲塚紀年存真》、王國維《古本竹書紀年輯校》，均以為引《紀年》而誤作《史記》。
前421,421,周威烈王五年（西元前四二一年）,3,秦、齊、楚、韓、趙、魏、晉、魯,,取、會,秦靈公四年，晉幽公十三年，魏文侯二十五年，韓武子四年，趙獻子三年，齊宣公三十五年，楚簡王十一年。 [晉]幽公十三年魯季孫會晉幽公于楚丘，取葭密，遂城之。（《永樂大典》本《水經·濟水注》引《竹書紀年》，《太平寰宇記》十三曹州乘氏縣下引《竹書紀年》同，惟“晉幽公”作“晉侯”，“楚丘”誤作“楚”，脫“丘”字） 案：全祖望、趙一清、戴震《水經注》校本皆改作“元公三年”，戴校本有校語：“案近刻訛作幽王十三年。”朱謀瑋《水經注》校本誤作“幽王”，箋雲：“舊本作幽公。”當從《永樂大典》本《水經注》及《太平寰宇記》作“幽公十三年”為是。楚丘在今山東曹縣東南。葭密在今山東菏澤東北。
前420,420,周威烈王六年（西元前四二0年）,3,秦、齊、楚、韓、趙、魏、晉、周,,立、殺,秦靈公五年，晉幽公十四年，魏文侯二十六年，韓武子五年，趙獻子四年，齊宣公三十六年，楚簡王十二年。 魏誅晉幽公，立其弟止。（《六國表》） 案：《六國表》記此事于魏文侯五年，即周威烈王六年。據《古本竹書紀年》，此年為晉幽公十四年，《晉世家》謂：“晉幽公十八年幽公淫婦人，夜竊出邑中，盜殺幽公。魏文侯以兵誅晉亂，立幽公子止，是為烈公。”《表》作“魏誅晉幽公”，大誤。《晉世家·索隱》引《紀年》雲：“夫人秦嬴賊公于高寢之上。”《太平御覽》八百七十六引《史記》亦雲：“（幽公）十八年晉夫人秦嬴賊君于高寢。”則殺君為夫人秦嬴。《六國表》記此事又誤前四年。
